,tweet_id,rating(over_10),total_likes,total_retweets,dog_breed
142,669354382627049472,8,2889,1390,Chihuahua
143,669359674819481600,11,390,134,Labrador Retriever
144,669363888236994561,10,669,252,Golden Retriever
145,669367896104181761,10,485,172,Basset
146,669371483794317312,10,524,196,Brabancon Griffon
147,669375718304980992,6,1425,792,Airedale
148,669393256313184256,10,383,83,Cocker Spaniel
149,669564461267722241,10,413,133,Toy Poodle
150,669567591774625800,9,248,61,Chihuahua
151,669573570759163904,10,467,156,West Highland White Terrier
152,669597912108789760,10,550,163,Eskimo Dog
153,669603084620980224,10,1006,401,Maltese Dog
154,669625907762618368,12,3769,1963,Golden Retriever
155,669680153564442624,8,712,311,Dalmatian
156,669683899023405056,10,412,119,Pomeranian
157,669753178989142016,10,858,431,Pembroke
158,669926384437997569,12,400,115,Pomeranian
159,669942763794931712,11,536,183,Vizsla
160,669970042633789440,10,317,65,Miniature Pinscher
161,669993076832759809,9,344,92,Toy Poodle
162,670003130994700288,10,352,100,Beagle
163,670040295598354432,10,801,118,Borzoi
164,670046952931721218,11,684,191,Blenheim Spaniel
165,670061506722140161,11,822,373,Italian Greyhound
166,670073503555706880,10,1674,874,Malamute
167,670086499208155136,10,740,275,German Short-Haired Pointer
168,670093938074779648,9,1106,365,Toy Poodle
169,670290420111441920,11,750,315,Chihuahua
170,670303360680108032,9,452,151,Shetland Sheepdog
171,670319130621435904,11,4110,1359,Irish Terrier
172,670338931251150849,10,451,122,Cairn
173,670374371102445568,12,785,295,English Springer
174,670385711116361728,8,593,234,Whippet
175,670403879788544000,10,460,173,Pug
176,670411370698022913,12,2176,991,Maltese Dog
177,670421925039075328,12,1415,709,Chihuahua
178,670427002554466305,9,551,179,Toy Terrier
179,670428280563085312,11,1484,694,Chow
180,670433248821026816,10,345,122,Giant Schnauzer
181,670434127938719744,11,1501,708,Chesapeake Bay Retriever
182,670435821946826752,10,1127,570,Basenji
183,670442337873600512,11,690,213,Sussex Spaniel
184,670444955656130560,10,7120,2153,English Springer
185,670452855871037440,11,580,225,Malamute
186,670676092097810432,8,267,45,Dandie Dinmont
187,670679630144274432,8,799,315,Ibizan Hound
188,670691627984359425,8,632,266,Shetland Sheepdog
189,670704688707301377,6,814,405,Norwich Terrier
190,670717338665226240,12,1301,547,Pomeranian
191,670755717859713024,9,475,123,Keeshond
192,670764103623966721,10,1154,466,Norfolk Terrier
193,670778058496974848,10,345,77,Pug
194,670780561024270336,7,831,317,Labrador Retriever
195,670782429121134593,5,1691,863,Chihuahua
196,670786190031921152,8,640,218,Pembroke
197,670789397210615808,9,700,255,Beagle
198,670792680469889025,7,889,298,Toy Poodle
199,670797304698376195,11,780,262,Pembroke
200,670803562457407488,10,362,95,Basenji
201,670804601705242624,10,2098,1035,Pomeranian
202,670807719151067136,11,1234,546,Old English Sheepdog
203,670811965569282048,10,1202,295,Basset
204,670815497391357952,10,3410,1708,American Staffordshire Terrier
205,670822709593571328,10,647,105,Chihuahua
206,670823764196741120,12,824,205,Labrador Retriever
207,670832455012716544,10,780,242,Malinois
208,670833812859932673,7,474,135,Pekinese
209,670840546554966016,10,634,213,Shih-Tzu
210,670995969505435648,12,1175,317,Redbone
211,671109016219725825,8,1225,478,Basenji
212,671115716440031232,6,1436,842,Malinois
213,671122204919246848,4,3729,2763,Chihuahua
214,671134062904504320,8,796,212,Shih-Tzu
215,671138694582165504,10,996,448,Samoyed
216,671141549288370177,9,1246,713,Borzoi
217,671147085991960577,9,713,254,Yorkshire Terrier
218,671151324042559489,12,714,166,Rottweiler
219,671154572044468225,11,769,241,Labrador Retriever
220,671163268581498880,8,1763,1198,Scottish Deerhound
221,671182547775299584,12,1193,378,Rottweiler
222,671186162933985280,10,788,241,Chihuahua
223,671355857343524864,10,508,119,Miniature Poodle
224,671357843010908160,9,426,157,Italian Greyhound
225,671485057807351808,11,806,253,Samoyed
226,671486386088865792,10,621,226,German Shepherd
227,671504605491109889,11,7495,3866,Toy Poodle
228,671518598289059840,9,1010,319,Lakeland Terrier
229,671520732782923777,10,1499,582,Pomeranian
230,671528761649688577,10,896,280,Doberman
231,671536543010570240,9,1253,441,Pug
232,671542985629241344,10,1166,616,Shetland Sheepdog
233,671561002136281088,13,13679,7931,Gordon Setter
234,671729906628341761,13,9119,4795,Kuvasz
235,671735591348891648,11,1534,819,Irish Wolfhound
236,671743150407421952,11,779,248,Toy Poodle
237,671768281401958400,10,1269,572,Chihuahua
238,671789708968640512,13,7527,3811,Dalmatian
239,671866342182637568,10,1191,548,Labrador Retriever
240,671891728106971137,11,1415,618,Labrador Retriever
241,671896809300709376,10,9016,4519,Chow
242,672068090318987265,7,1389,564,Pug
243,672082170312290304,11,1003,402,Toy Poodle
244,672095186491711488,9,1063,395,Pug
245,672125275208069120,11,2578,1253,Golden Retriever
246,672139350159835138,12,1876,792,Rottweiler
247,672160042234327040,8,918,395,Pug
248,672169685991993344,10,1074,408,Cocker Spaniel
249,672205392827572224,9,2414,1270,Pug
250,672222792075620352,9,833,231,Beagle
251,672239279297454080,7,953,347,Pug
252,672245253877968896,12,733,169,Chihuahua
253,672248013293752320,10,1833,656,Irish Terrier
254,672254177670729728,11,1515,800,Pug
255,672264251789176834,10,1212,383,Chihuahua
256,672267570918129665,10,1588,666,Irish Terrier
257,672272411274932228,11,6888,3677,Pug
258,672466075045466113,12,1447,598,Cocker Spaniel
259,672481316919734272,12,757,137,Border Collie
260,672482722825261057,10,1221,665,West Highland White Terrier
261,672488522314567680,10,1187,482,Doberman
262,672523490734551040,10,696,189,Golden Retriever
263,672538107540070400,7,1089,404,Chihuahua
264,672591762242805761,10,1014,367,Kuvasz
265,672594978741354496,9,1411,661,Great Pyrenees
266,672604026190569472,11,1188,445,Toy Poodle
267,672622327801233409,12,1377,542,Golden Retriever
268,672640509974827008,9,1032,348,Chesapeake Bay Retriever
269,672834301050937345,10,1398,623,Pembroke
270,672877615439593473,8,1096,405,Chihuahua
271,672964561327235073,10,1530,701,Chihuahua
272,672968025906282496,11,1405,602,Toy Poodle
273,672975131468300288,10,1813,1015,Pug
274,672980819271634944,5,1930,1079,Basset
275,672988786805112832,10,1039,314,Lakeland Terrier
276,672995267319328768,8,1001,328,French Bulldog
277,672997845381865473,12,2092,786,Chow
278,673213039743795200,10,2410,929,Schipperke
279,673240798075449344,6,1510,798,Airedale
280,673270968295534593,11,1134,400,Shih-Tzu
281,673295268553605120,8,8046,3484,Golden Retriever
282,673317986296586240,10,924,293,Miniature Pinscher
283,673320132811366400,11,14441,8705,Samoyed
284,673342308415348736,10,1362,649,Chihuahua
285,673343217010679808,11,1038,289,Chihuahua
286,673345638550134785,7,2700,1422,Pomeranian
287,673350198937153538,9,784,229,West Highland White Terrier
288,673352124999274496,12,1761,597,Golden Retriever
289,673355879178194945,11,1606,652,Rottweiler
290,673359818736984064,8,1558,728,English Setter
291,673580926094458881,8,882,297,Beagle
292,673583129559498752,11,1273,403,Golden Retriever
293,673612854080196609,7,1691,802,Newfoundland
294,673636718965334016,10,1194,404,Pug
295,673656262056419329,10,769,265,Bull Mastiff
296,673662677122719744,12,1339,397,Labrador Retriever
297,673680198160809984,13,1460,521,Samoyed
298,673686845050527744,11,1544,479,Pekinese
299,673688752737402881,9,1325,534,Soft-Coated Wheaten Terrier
300,673689733134946305,11,1855,700,Chesapeake Bay Retriever
301,673705679337693185,8,1337,439,Shih-Tzu
302,673707060090052608,10,1177,434,German Short-Haired Pointer
303,673708611235921920,12,1153,315,Golden Retriever
304,673709992831262724,12,908,306,Chihuahua
305,673711475735838725,10,1114,325,Maltese Dog
306,673887867907739649,10,994,274,Brabancon Griffon
307,673906403526995968,3,3406,1799,Soft-Coated Wheaten Terrier
308,673919437611909120,11,1251,401,Schipperke
309,673956914389192708,10,2091,1069,Pug
310,674014384960745472,11,1676,714,Pembroke
311,674019345211760640,10,1208,340,Collie
312,674024893172875264,10,1914,1360,Pomeranian
313,674036086168010753,9,906,240,Toy Poodle
314,674038233588723717,12,1176,456,Eskimo Dog
315,674042553264685056,12,772,142,Toy Poodle
316,674051556661161984,10,1564,530,Shih-Tzu
317,674053186244734976,10,3576,1441,Cardigan
318,674075285688614912,11,1047,316,Airedale
319,674082852460433408,11,804,186,Pomeranian
320,674255168825880576,10,1581,619,Eskimo Dog
321,674262580978937856,9,1391,498,Greater Swiss Mountain Dog
322,674269164442398721,8,961,255,Pug
323,674271431610523648,10,1682,800,German Shepherd
324,674291837063053312,11,15817,6533,Cardigan
325,674394782723014656,8,1607,635,Lakeland Terrier
326,674410619106390016,10,1289,515,Beagle
327,674416750885273600,10,731,157,Chihuahua
328,674422304705744896,12,1536,592,Golden Retriever
329,674436901579923456,9,1198,426,Shih-Tzu
330,674447403907457024,10,1137,393,Brabancon Griffon
331,674468880899788800,13,6676,2275,Chow
332,674638615994089473,12,1806,650,Pomeranian
333,674644256330530816,11,1111,311,Basset
334,674646392044941312,5,1533,557,Flat-Coated Retriever
335,674670581682434048,9,1751,729,Malamute
336,674737130913071104,10,693,103,Pomeranian
337,674739953134403584,11,1194,437,Dandie Dinmont
338,674743008475090944,10,1514,607,Bernese Mountain Dog
339,674752233200820224,12,1580,516,Vizsla
340,674764817387900928,10,852,263,Samoyed
341,674774481756377088,11,1213,532,Chihuahua
342,674788554665512960,9,871,230,Miniature Poodle
343,674790488185167872,13,1180,278,Labrador Retriever
344,674793399141146624,13,2697,1225,Giant Schnauzer
345,674800520222154752,11,3240,949,Pembroke
346,674805413498527744,10,934,391,English Springer
347,674999807681908736,13,2433,1232,Rottweiler
348,675003128568291329,12,1672,517,Pembroke
349,675006312288268288,10,1057,252,Boxer
350,675015141583413248,10,2918,1335,Golden Retriever
351,675047298674663426,11,1141,366,Samoyed
352,675109292475830276,9,3006,1259,Dalmatian
353,675111688094527488,8,1042,283,Labrador Retriever
354,675145476954566656,9,2305,1011,Labrador Retriever
355,675146535592706048,7,1300,349,Cardigan
356,675147105808306176,10,1026,273,Golden Retriever
357,675149409102012420,12,4037,1878,Chow
358,675166823650848770,10,3920,1795,Standard Poodle
359,675334060156301312,12,3007,1436,Pembroke
360,675349384339542016,13,4237,2532,Borzoi
361,675354435921575936,13,35178,18963,Golden Retriever
362,675362609739206656,12,1136,262,Labrador Retriever
363,675372240448454658,13,1838,563,Chihuahua
364,675432746517426176,12,1623,627,Labrador Retriever
365,675489971617296384,10,1406,672,West Highland White Terrier
366,675497103322386432,11,3397,1443,Vizsla
367,675517828909424640,12,1414,507,Scottish Deerhound
368,675522403582218240,10,1122,316,Cocker Spaniel
369,675531475945709568,10,1276,428,Pembroke
370,675534494439489536,11,1953,470,Chow
371,675706639471788032,10,693,106,English Springer
372,675707330206547968,11,2154,771,Staffordshire Bullterrier
373,675710890956750848,12,2046,928,Standard Schnauzer
374,675740360753160193,12,1257,388,Golden Retriever
375,675781562965868544,11,1750,537,Maltese Dog
376,675798442703122432,10,11101,3787,Beagle
377,675820929667219457,11,1140,260,Basset
378,675822767435051008,10,1652,591,Pomeranian
379,675845657354215424,10,2477,1000,Pug
380,675870721063669760,11,1783,632,Golden Retriever
381,675878199931371520,11,4531,1570,Cardigan
382,675888385639251968,10,2581,1067,West Highland White Terrier
383,675891555769696257,6,2297,976,Italian Greyhound
384,675898130735476737,10,1774,653,Labrador Retriever
385,676089483918516224,9,1431,483,Bull Mastiff
386,676101918813499392,11,3042,1284,Shih-Tzu
387,676146341966438401,10,2077,744,Irish Water Spaniel
388,676191832485810177,10,2478,1145,Chihuahua
389,676219687039057920,10,67100,31989,Whippet
390,676237365392908289,8,1335,331,French Bulldog
391,676263575653122048,10,2243,609,Toy Poodle
392,676430933382295552,10,1526,385,Golden Retriever
393,676440007570247681,11,1863,748,Maltese Dog
394,676470639084101634,11,12616,5224,Golden Retriever
395,676496375194980353,9,1641,602,Pug
396,676533798876651520,12,2025,621,Chow
397,676575501977128964,8,2807,1254,Yorkshire Terrier
398,676582956622721024,8,1310,312,Boston Bull
399,676588346097852417,5,2533,896,Boston Bull
400,676603393314578432,9,1280,440,Whippet
401,676606785097199616,12,2039,490,Malinois
402,676613908052996102,12,1183,219,Doberman
403,676617503762681856,13,3149,1108,Chihuahua
404,676811746707918848,9,1536,469,Chihuahua
405,676819651066732545,12,1957,741,Labrador Retriever
406,676821958043033607,11,25124,17605,Great Pyrenees
407,676864501615042560,10,2294,808,Chesapeake Bay Retriever
408,676936541936185344,8,13809,5515,Chesapeake Bay Retriever
409,676946864479084545,12,1844,426,Pekinese
410,676949632774234114,8,1413,448,Welsh Springer Spaniel
411,676957860086095872,10,2395,907,Labrador Retriever
412,676975532580409345,11,3015,1203,Malamute
413,677187300187611136,9,2981,1033,English Setter
414,677269281705472000,10,2164,790,Shetland Sheepdog
415,677301033169788928,5,1362,471,Japanese Spaniel
416,677314812125323265,10,1799,611,Blenheim Spaniel
417,677328882937298944,10,3938,1693,Kelpie
418,677331501395156992,9,1189,265,Beagle
419,677334615166730240,9,1477,328,Lakeland Terrier
420,677530072887205888,9,1161,250,Staffordshire Bullterrier
421,677547928504967168,12,7568,4076,American Staffordshire Terrier
422,677557565589463040,10,2665,1322,Shih-Tzu
423,677565715327688705,6,1409,513,Basset
424,677644091929329666,11,2040,886,Chihuahua
425,677673981332312066,9,3603,1677,Maltese Dog
426,677687604918272002,11,2681,950,Pembroke
427,677698403548192770,9,1332,363,Shih-Tzu
428,677700003327029250,10,3689,1622,Siberian Husky
429,677895101218201600,9,5275,2384,Dalmatian
430,677918531514703872,10,1476,463,Eskimo Dog
431,678021115718029313,12,15018,7148,Miniature Pinscher
432,678255464182861824,9,1726,418,Chihuahua
433,678278586130948096,10,12531,6857,Maltese Dog
434,678334497360859136,10,1427,304,Norfolk Terrier
435,678341075375947776,12,1896,612,Golden Retriever
436,678380236862578688,10,2655,1020,Samoyed
437,678389028614488064,11,2044,473,Miniature Pinscher
438,678396796259975168,12,1731,478,Pembroke
439,678399652199309312,12,61794,30742,Bedlington Terrier
440,678410210315247616,10,4640,2072,Schipperke
441,678424312106393600,2,5916,2880,Maltese Dog
442,678446151570427904,10,4358,1785,Staffordshire Bullterrier
443,678643457146150913,10,2250,489,Labrador Retriever
444,678740035362037760,6,4099,1926,Beagle
445,678755239630127104,10,7802,3741,Malamute
446,678764513869611008,10,1788,544,Irish Terrier
447,678774928607469569,11,3037,1043,Pembroke
448,678798276842360832,7,3804,1350,Airedale
449,678800283649069056,12,2810,1018,Labrador Retriever
450,678969228704284672,11,1796,528,Labrador Retriever
451,678991772295516161,12,2537,1333,Eskimo Dog
452,679047485189439488,9,2460,781,Golden Retriever
453,679062614270468097,11,18712,9299,Schipperke
454,679111216690831360,12,6514,2893,Kelpie
455,679132435750195208,10,3253,1314,Scottish Deerhound
456,679148763231985668,8,3028,1163,Italian Greyhound
457,679158373988876288,11,23568,9193,Pug
458,679462823135686656,11,34856,21324,Toy Poodle
459,679475951516934144,9,2304,728,Maltese Dog
460,679511351870550016,7,3711,1461,Chihuahua
461,679530280114372609,7,5208,2347,Dalmatian
462,679722016581222400,8,1817,539,Boxer
463,679729593985699840,8,2367,937,West Highland White Terrier
464,679736210798047232,9,2311,918,French Bulldog
465,679777920601223168,10,3390,1281,Bloodhound
466,679828447187857408,13,39726,15839,Chihuahua
467,679844490799091713,10,2593,887,Airedale
468,679854723806179328,7,3143,1402,Chow
469,679862121895714818,11,2678,706,Entlebucher
470,680055455951884288,10,18278,8067,Samoyed
471,680070545539371008,9,2818,994,Shih-Tzu
472,680100725817409536,11,3891,1554,Golden Retriever
473,680115823365742593,9,2972,1028,Pug
474,680130881361686529,10,2519,1078,Maltese Dog
475,680145970311643136,10,3955,1972,Miniature Poodle
476,680161097740095489,12,2538,828,Bluetick
477,680191257256136705,11,2356,577,Brittany Spaniel
478,680473011644985345,10,2778,844,Lakeland Terrier
479,680497766108381184,12,4639,2162,Chihuahua
480,680609293079592961,9,2906,816,French Bulldog
481,680801747103793152,10,2600,925,Pug
482,680836378243002368,12,3766,1513,Pembroke
483,680889648562991104,9,1945,418,Shetland Sheepdog
484,680913438424612864,11,2609,705,Pomeranian
485,680934982542561280,10,2285,497,Labrador Retriever
486,680940246314430465,4,3544,1225,Soft-Coated Wheaten Terrier
487,680959110691590145,9,4986,2243,Pug
488,680970795137544192,9,2665,749,Pug
489,681193455364796417,11,4077,1691,Pomeranian
490,681231109724700672,11,2629,540,Irish Setter
491,681261549936340994,9,1597,308,Tibetan Terrier
492,681281657291280384,11,3520,1258,Saint Bernard
493,681297372102656000,12,3490,1091,Lhasa
494,681320187870711809,11,2918,863,Samoyed
495,681339448655802368,9,10202,4598,Labrador Retriever
496,681523177663676416,12,15749,6620,Norfolk Terrier
497,681579835668455424,8,3893,1489,Rottweiler
498,681610798867845120,12,2100,533,Toy Poodle
499,681654059175129088,12,2903,1045,Pomeranian
500,681694085539872773,11,14010,4581,Toy Poodle
501,681891461017812993,10,2706,951,Chihuahua
502,681981167097122816,12,3043,1161,Labrador Retriever
503,682032003584274432,11,7223,2294,Schipperke
504,682259524040966145,9,4578,1375,Siberian Husky
505,682303737705140231,9,3389,1135,Lakeland Terrier
506,682389078323662849,9,1828,518,Curly-Coated Retriever
507,682393905736888321,11,2441,773,Vizsla
508,682429480204398592,8,3769,1320,Whippet
509,682638830361513985,12,2266,675,English Springer
510,682662431982772225,11,3326,1207,Beagle
511,682750546109968385,9,1674,494,English Setter
512,683030066213818368,10,2370,832,Boxer
513,683078886620553216,9,2176,634,Eskimo Dog
514,683098815881154561,12,2361,736,Golden Retriever
515,683111407806746624,10,3736,1034,Cocker Spaniel
516,683142553609318400,9,3162,1173,Leonberg
517,683357973142474752,10,3238,1059,Pembroke
518,683391852557561860,11,8356,2702,French Bulldog
519,683449695444799489,10,4290,1837,Lakeland Terrier
520,683462770029932544,8,2676,761,Italian Greyhound
521,683481228088049664,11,2878,1118,Keeshond
522,683498322573824003,11,3469,1095,Airedale
523,683742671509258241,11,7162,3781,Pembroke
524,683773439333797890,9,3684,1533,Miniature Pinscher
525,683828599284170753,12,3053,1195,Malamute
526,683834909291606017,9,2880,1265,Maltese Dog
527,683849932751646720,5,2896,1116,Mexican Hairless
528,683852578183077888,10,2111,397,Toy Poodle
529,683857920510050305,10,4163,1262,Bluetick
530,684097758874210310,10,4515,1621,Labrador Retriever
531,684177701129875456,10,2215,764,Chow
532,684188786104872960,10,3831,1343,Kelpie
533,684195085588783105,9,2108,595,Chihuahua
534,684241637099323392,12,8999,3727,Pembroke
535,684460069371654144,10,2169,628,Labrador Retriever
536,684481074559381504,10,4249,1320,Chihuahua
537,684538444857667585,12,2915,1085,Chihuahua
538,684594889858887680,10,9843,4016,Weimaraner
539,684800227459624960,11,2979,1124,Miniature Schnauzer
540,684902183876321280,11,2053,605,Pembroke
541,684914660081053696,12,3848,1662,Chow
542,684926975086034944,11,3849,552,Labrador Retriever
543,684940049151070208,12,3523,1191,Border Collie
544,685169283572338688,11,4489,1620,Bernese Mountain Dog
545,685198997565345792,11,2566,764,Old English Sheepdog
546,685268753634967552,10,3419,1371,Pug
547,685307451701334016,11,2262,496,Pomeranian
548,685315239903100929,11,3676,1234,Chow
549,685321586178670592,10,2910,735,Boston Bull
550,685325112850124800,10,10471,4535,Golden Retriever
551,685532292383666176,9,3336,1298,Collie
552,685641971164143616,7,3218,885,Lakeland Terrier
553,685663452032069632,12,3557,1656,Chesapeake Bay Retriever
554,685906723014619143,9,8277,3303,Yorkshire Terrier
555,685943807276412928,8,1801,696,Papillon
556,685973236358713344,11,2326,611,Siberian Husky
557,686007916130873345,11,2704,472,Rhodesian Ridgeback
558,686034024800862208,12,3424,1324,Great Dane
559,686050296934563840,11,2420,836,Pomeranian
560,686358356425093120,10,2398,776,Pug
561,686377065986265092,10,2433,637,German Shepherd
562,686386521809772549,11,3553,996,Yorkshire Terrier
563,686606069955735556,10,2071,607,Labrador Retriever
564,686618349602762752,11,4042,1544,Rottweiler
565,686683045143953408,11,3072,912,Norwich Terrier
566,686730991906516992,12,4543,1350,Tibetan Mastiff
567,687096057537363968,11,2449,695,Labrador Retriever
568,687109925361856513,11,6370,2803,Borzoi
569,687124485711986689,11,2371,577,Beagle
570,687127927494963200,9,6004,2591,Pug
571,687312378585812992,7,4777,2146,Great Dane
572,687317306314240000,11,22073,10411,Shih-Tzu
573,687460506001633280,10,2243,614,Boston Bull
574,687480748861947905,12,1760,281,English Springer
575,687494652870668288,7,2104,654,Rottweiler
576,687664829264453632,11,2121,576,Pug
577,687704180304273409,9,2660,950,Miniature Pinscher
578,687807801670897665,11,2625,801,Staffordshire Bullterrier
579,687818504314159109,12,2758,1080,Lakeland Terrier
580,687826841265172480,12,2989,1292,Pomeranian
581,688064179421470721,11,1878,408,Eskimo Dog
582,688116655151435777,10,3093,888,Pug
583,688385280030670848,12,10180,5035,Golden Retriever
584,688519176466644993,12,2520,825,Pembroke
585,688547210804498433,9,2862,789,Papillon
586,688789766343622656,8,2434,759,American Staffordshire Terrier
587,688804835492233216,12,1043,227,Malinois
588,688828561667567616,9,1508,420,Cardigan
589,688898160958271489,10,2307,890,Ibizan Hound
